category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Sep 2022,1362.5455,1207.4545,1366.6364,1366.6364
2 Sep 2022,1406.5217,1148.6957,1420.1739,1420.1739
3 Sep 2022,1351.2,1106.4,1360.5,1360.5
4 Sep 2022,1338,1338,1338,1338
5 Sep 2022,1257.8,1257.8,1257.8,1257.8
6 Sep 2022,1367.2609,1146.3913,1375.1739,1375.1739
7 Sep 2022,1364.0857,1101.2571,1379.3714,1379.0286
8 Sep 2022,1390.35,977.5,1423.5,1423.5
9 Sep 2022,1363.7013,1105.1948,1377.8442,1377.8442
10 Sep 2022,1405.6667,1115.6667,1413,1413
11 Sep 2022,0,0,0,0
12 Sep 2022,1357.9375,982.3125,1372.5625,1372.5625
13 Sep 2022,1310.5882,1008.2353,1375.5294,1323.0588
14 Sep 2022,1383.7143,1013.5714,1395.8571,1395.8571
15 Sep 2022,1297.8421,1173.8947,1300.5263,1300.5263
16 Sep 2022,1392.625,1071,1401.75,1401.75
17 Sep 2022,1341.5238,1074.9524,1355.1429,1355.1429
18 Sep 2022,1258.875,1037.25,1271.1667,1271.1667
19 Sep 2022,1344,1159.25,1352.5625,1351.9375
20 Sep 2022,1385.2,1186.8667,1392,1392
21 Sep 2022,1353.0169,1170.4407,1360.8814,1360.8814
22 Sep 2022,1320.3,1119.9,1329.4,1329.4
23 Sep 2022,1353.0169,1108.5763,1360.8814,1360.8814
24 Sep 2022,1381.1724,1240.069,1384.5517,1384.5517
25 Sep 2022,1331.0667,1097,1338,1338
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
