category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Sep 2022,0,0,0,0
2 Sep 2022,0,0,0,0
3 Sep 2022,0,0,0,0
4 Sep 2022,0,0,0,0
5 Sep 2022,0.1,0,0.1,0.1
6 Sep 2022,0,0,0,0
7 Sep 2022,0.0278,0,0.0556,0.0556
8 Sep 2022,0,0,0,0
9 Sep 2022,0,0,0,0
10 Sep 2022,0,0,0,0
11 Sep 2022,0,0,0,0
12 Sep 2022,0,0,0,0
13 Sep 2022,0,0,0,0
14 Sep 2022,0,0,0,0
15 Sep 2022,0,0,0,0
16 Sep 2022,0.04,0.04,0.04,0.04
17 Sep 2022,0.0476,0,0.0476,0.0476
18 Sep 2022,0,0,0,0
19 Sep 2022,0,0,0,0
20 Sep 2022,0,0,0,0
21 Sep 2022,0,0,0,0
22 Sep 2022,0,0,0,0
23 Sep 2022,0,0,0,0
24 Sep 2022,0,0,0,0
25 Sep 2022,0,0,0,0
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
