category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Sep 2022,536,536,536,536
2 Sep 2022,536,536,536,536
3 Sep 2022,536,536,536,536
4 Sep 2022,536,536,536,536
5 Sep 2022,536,536,536,536
6 Sep 2022,536,536,536,536
7 Sep 2022,536,536,536,536
8 Sep 2022,536,536,536,536
9 Sep 2022,536,536,536,536
10 Sep 2022,536,536,536,536
11 Sep 2022,0,0,0,0
12 Sep 2022,536,536,536,536
13 Sep 2022,536,536,536,536
14 Sep 2022,536,536,536,536
15 Sep 2022,536,536,536,536
16 Sep 2022,536,536,536,536
17 Sep 2022,536,536,536,536
18 Sep 2022,536,536,536,536
19 Sep 2022,536,536,536,536
20 Sep 2022,536,536,536,536
21 Sep 2022,536,536,536,536
22 Sep 2022,536,536,536,536
23 Sep 2022,536,536,536,536
24 Sep 2022,536,536,536,536
25 Sep 2022,536,536,536,536
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
