category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Apr 2022,536,536,536,536
2 Apr 2022,536,536,536,536
3 Apr 2022,536,536,536,536
4 Apr 2022,536,536,536,536
5 Apr 2022,538.2391,538.2391,538.2391,538.2391
6 Apr 2022,536,536,536,536
7 Apr 2022,541.1395,541.1395,541.1395,541.1395
8 Apr 2022,536,536,536,536
9 Apr 2022,538.1364,538.1364,538.1364,538.1364
10 Apr 2022,536,536,536,536
11 Apr 2022,536,536,536,536
12 Apr 2022,536,536,536,536
13 Apr 2022,536,536,536,536
14 Apr 2022,536,536,536,536
15 Apr 2022,536,536,536,536
16 Apr 2022,536,536,536,536
17 Apr 2022,536,536,536,536
18 Apr 2022,536,536,536,536
19 Apr 2022,537.1594,537.1594,537.1594,537.1594
20 Apr 2022,536,536,536,536
21 Apr 2022,536,536,536,536
22 Apr 2022,536,536,536,536
23 Apr 2022,536,536,536,536
24 Apr 2022,542.697,542.697,542.697,542.697
25 Apr 2022,536,536,536,536
26 Apr 2022,536,536,536,536
27 Apr 2022,536,536,536,536
28 Apr 2022,536,536,536,536
29 Apr 2022,536,536,536,536
30 Apr 2022,536,536,536,536
