category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Feb 2022,536,536,536,536
2 Feb 2022,536,536,536,536
3 Feb 2022,536,536,536,536
4 Feb 2022,536,536,536,536
5 Feb 2022,536,536,536,536
6 Feb 2022,536,536,536,536
7 Feb 2022,536,536,536,536
8 Feb 2022,536,536,536,536
9 Feb 2022,536.9038,536.9038,536.9038,536.9038
10 Feb 2022,538.9014,538.9014,538.9014,538.9014
11 Feb 2022,536,536,536,536
12 Feb 2022,536,536,536,536
13 Feb 2022,542.8235,542.8235,542.8235,542.8235
14 Feb 2022,536,536,536,536
15 Feb 2022,536,536,536,536
16 Feb 2022,536,536,536,536
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,536,536,536,536
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,536,536,536,536
25 Feb 2022,536,536,536,536
26 Feb 2022,536,536,536,536
27 Feb 2022,536,536,536,536
28 Feb 2022,536,536,536,536
