category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Feb 2022,0,0,0,0
2 Feb 2022,0,0,0,0
3 Feb 2022,0,0,0,0
4 Feb 2022,0,0,0,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0,0,0,0
8 Feb 2022,0,0,0,0
9 Feb 2022,0,0,0,0
10 Feb 2022,0,0,0,0
11 Feb 2022,0,0,0,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,0,0,0,0
15 Feb 2022,0,0,0,0
16 Feb 2022,0,0,0,0
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0,0,0,0
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0,0,0,0
25 Feb 2022,0,0,0,0
26 Feb 2022,0,0,0,0
27 Feb 2022,0,0,0,0
28 Feb 2022,0,0,0,0
