category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Feb 2022,1389.0682,1293.2273,1392.5455,1392.5455
2 Feb 2022,1370.5833,1250.7778,1374.1667,1374.1667
3 Feb 2022,1368.5208,1316.2917,1370.1667,1370.1667
4 Feb 2022,1374.8462,1314.4615,1376.1538,1376.1538
5 Feb 2022,1331.0645,1079.2903,1338,1338
6 Feb 2022,1317.9036,796.8916,1338,1338
7 Feb 2022,1342.6364,1009.8636,1360.2727,1360.2727
8 Feb 2022,1339.9672,1012.8852,1355.7377,1355.7377
9 Feb 2022,1349.7925,1072.717,1360.2264,1360.2264
10 Feb 2022,1338.1831,1054.7887,1348.4789,1348.4789
11 Feb 2022,1360.2353,1222,1363.5294,1363.5294
12 Feb 2022,1335.2692,1214.6154,1338,1338
13 Feb 2022,1334.9412,1196.4706,1338,1338
14 Feb 2022,1374.1296,1272.8519,1377.037,1377.037
15 Feb 2022,1373.6429,1202.2381,1377.7143,1377.7143
16 Feb 2022,1369.974,1248.3636,1374.5195,1374.5195
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1345.2647,1189.4118,1354.5294,1354.5294
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,1339.5957,1021.7021,1352.9787,1352.9787
25 Feb 2022,1333.5,947.85,1348.85,1348.85
26 Feb 2022,1321.7188,937,1338,1338
27 Feb 2022,1329.551,1108.6122,1338,1338
28 Feb 2022,1393.9688,1344.0625,1396.125,1396.125
