category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Jun 2022,0.3488,0.0349,0.593,0.3488
2 Jun 2022,0.4444,0,0.8056,0.5278
3 Jun 2022,0.5862,0,0.8793,0.6207
4 Jun 2022,0.6087,0.0435,0.8696,0.7391
5 Jun 2022,1.2895,0,1.9211,1.4737
6 Jun 2022,0.58,0,0.94,0.6
7 Jun 2022,0.2625,0,0.35,0.2625
8 Jun 2022,0.2456,0.0175,0.386,0.2632
9 Jun 2022,0.2558,0.0116,0.3837,0.2558
10 Jun 2022,0.5,0.0385,0.9038,0.5192
11 Jun 2022,0.403,0.0149,0.5672,0.4627
12 Jun 2022,1.6923,0,2.4038,2.0769
13 Jun 2022,1.6707,0,2.622,1.878
14 Jun 2022,0.9655,0.0115,1.7356,1.069
15 Jun 2022,0.3488,0.093,0.4884,0.3721
16 Jun 2022,0.3608,0.0103,0.5258,0.3608
17 Jun 2022,0,0,0,0
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
