category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,1415.3421,1075.8947,1428,1428
16 Aug 2022,1381.4098,1158.623,1391.1148,1391.1148
17 Aug 2022,1390.4545,1030.4364,1403.4545,1403.4545
18 Aug 2022,1408.3333,1047.3778,1424,1424
19 Aug 2022,1412.7813,954.125,1428,1428
20 Aug 2022,1367.1176,1118,1380.3529,1380.3529
21 Aug 2022,1318.4565,1250.8261,1320.5652,1320.5652
22 Aug 2022,1421.0769,1153.5385,1428,1428
23 Aug 2022,1345.1356,1164.339,1354.9153,1354.7797
24 Aug 2022,1336.3333,962.1481,1358.7778,1358.5926
25 Aug 2022,1357.7818,1063.7091,1387.0909,1370.8727
26 Aug 2022,1297.5833,1160,1301.1667,1301.1667
27 Aug 2022,1338,1338,1338,1338
28 Aug 2022,1329.4286,1223.4286,1344.4286,1344.4286
29 Aug 2022,1342.76,1005.6,1363.52,1363.52
30 Aug 2022,1362.1458,1092.9167,1368.1667,1368.1667
31 Aug 2022,1389,1083.1818,1399.3636,1399.3636
