category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,536,536,536,536
16 Aug 2022,536,536,536,536
17 Aug 2022,536,536,536,536
18 Aug 2022,536,536,536,536
19 Aug 2022,536,536,536,536
20 Aug 2022,536,536,536,536
21 Aug 2022,536,536,536,536
22 Aug 2022,536,536,536,536
23 Aug 2022,536,536,536,536
24 Aug 2022,536,536,536,536
25 Aug 2022,536,536,536,536
26 Aug 2022,536,536,536,536
27 Aug 2022,536,536,536,536
28 Aug 2022,536,536,536,536
29 Aug 2022,536,536,536,536
30 Aug 2022,536,536,536,536
31 Aug 2022,536,536,536,536
