category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Mar 2022,1359.5833,1195.9167,1374.1389,1374.1389
2 Mar 2022,1393.2778,1343.5556,1399.8889,1388.1111
3 Mar 2022,0,0,0,0
4 Mar 2022,1335.6786,1018.5714,1349.0714,1349.0714
5 Mar 2022,1328.075,1057.3,1338,1338
6 Mar 2022,1330.2836,981.6716,1340.7761,1340.7761
7 Mar 2022,1357.8235,1162.7451,1367.1765,1367.1765
8 Mar 2022,1346.6977,988.0465,1362.5116,1362.5116
9 Mar 2022,1352.3167,1146.8667,1360.7333,1360.7333
10 Mar 2022,1358.0278,1147.9444,1372.4444,1372.4444
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,1365.8333,1018.8333,1375.5,1375.5
14 Mar 2022,1320.6667,536,1338,1338
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1352.6571,1140.7429,1377.6,1377.6
18 Mar 2022,1359.3846,1102.4615,1369.7949,1369.7949
19 Mar 2022,1341.303,1038.9697,1354.9091,1354.9091
20 Mar 2022,1331.3333,1070.6667,1338,1338
21 Mar 2022,1397.4,1313.6,1400,1400
22 Mar 2022,1402.1538,1402.1538,1402.1538,1402.1538
23 Mar 2022,1381.1,1304.3,1384.5,1384.5
24 Mar 2022,1365.5111,1190.0889,1369.6889,1369.6889
25 Mar 2022,1373.6364,1318,1376.3273,1376.3273
26 Mar 2022,1328.8519,1100.3704,1338,1338
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1377.5,1310.5,1379.2083,1379.2083
