category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Nov 2021,0,0,0.0308,0
2 Nov 2021,0,0,0.0213,0
3 Nov 2021,0,0,0.0317,0
4 Nov 2021,0,0,0.1364,0
5 Nov 2021,0,0,0.0488,0
6 Nov 2021,0,0,0,0
7 Nov 2021,0,0,0,0
8 Nov 2021,0,0,0.0345,0
9 Nov 2021,0,0,0.0313,0
10 Nov 2021,0,0,0,0
11 Nov 2021,0,0,0,0
12 Nov 2021,0,0,0,0
13 Nov 2021,0,0,0,0
14 Nov 2021,0,0,0,0
15 Nov 2021,0,0,0,0
16 Nov 2021,0,0,0,0
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0,0,0,0
21 Nov 2021,0,0,0,0
22 Nov 2021,0,0,0.0094,0
23 Nov 2021,0,0,0.015,0
24 Nov 2021,0,0,0.0278,0.0139
25 Nov 2021,0,0,0.0109,0
26 Nov 2021,0,0,0,0
27 Nov 2021,0,0,0,0
28 Nov 2021,0,0,0,0
29 Nov 2021,0,0,0,0
30 Nov 2021,0,0,0,0
