category,Average Backoff,Minimum Backoff,Maximum Backoff,Median Backoff
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,0,0,0.0217,0.0217
8 Oct 2022,0.0333,0,0.0333,0.0333
9 Oct 2022,0,0,0,0
10 Oct 2022,0.0238,0,0.0476,0.0238
11 Oct 2022,0.0182,0,0.0182,0.0182
12 Oct 2022,0,0,0,0
13 Oct 2022,0.0526,0,0.0526,0.0526
14 Oct 2022,0,0,0,0
15 Oct 2022,0,0,0,0
16 Oct 2022,0,0,0,0
17 Oct 2022,0,0,0,0
18 Oct 2022,0.0278,0,0.0833,0.0556
19 Oct 2022,0,0,0,0
20 Oct 2022,0.027,0,0.1351,0.0811
21 Oct 2022,0,0,0.0833,0
22 Oct 2022,0,0,0,0
23 Oct 2022,0,0,0,0
24 Oct 2022,0,0,0,0
25 Oct 2022,0,0,0,0
26 Oct 2022,0,0,0,0
27 Oct 2022,0,0,0,0
28 Oct 2022,0,0,0,0
29 Oct 2022,0,0,0,0
30 Oct 2022,0,0,0,0
31 Oct 2022,0,0,0,0
