category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,1356.0217,950.4348,1381.0435,1381.0435
8 Oct 2022,1343.7586,1061.7241,1356.8966,1356.8966
9 Oct 2022,1308.6471,1005.8824,1338,1338
10 Oct 2022,1381.2727,1011.2727,1408.9091,1408.1818
11 Oct 2022,1374.4286,982.9286,1391.5,1391.5
12 Oct 2022,1331.7059,905.7059,1364.7059,1340.5294
13 Oct 2022,1354.8889,1066.1111,1363.4444,1363.4444
14 Oct 2022,1401.1667,1031.5556,1423,1423
15 Oct 2022,1393.125,759,1428,1428
16 Oct 2022,0,0,0,0
17 Oct 2022,1403.9231,1009.3846,1414.1538,1414.1538
18 Oct 2022,1416.5143,1099.6286,1428,1428
19 Oct 2022,1388.7407,1047.9259,1401.3333,1401.3333
20 Oct 2022,1414.4444,982,1428,1428
21 Oct 2022,1429.4545,1270.1818,1433.4545,1433.4545
22 Oct 2022,1338,1338,1338,1338
23 Oct 2022,1333.8571,1166.1429,1338,1338
24 Oct 2022,1407.1786,1009.8571,1422.6429,1422.2143
25 Oct 2022,1384.4375,965.125,1399.875,1399.875
26 Oct 2022,1383,1383,1383,1383
27 Oct 2022,1395.1818,1087.2727,1403.4545,1403.4545
28 Oct 2022,1408.5556,1026.5556,1423,1423
29 Oct 2022,1388.4,1213.6,1392,1392
30 Oct 2022,1334,1177.6,1338,1338
31 Oct 2022,1423.2222,1132.8889,1430.2222,1430.2222
